ns:martial_arts.martial_arts_organization.qualifications_awarded..martial_arts.martial_arts_certification.art	ns:martial_arts.martial_arts_organization	ns:martial_arts.martial_art
ns:cvg.computer_videogame.platforms	ns:cvg.computer_videogame	ns:cvg.cvg_platform
ns:business.business_location.in_shopping_center	ns:business.business_location	ns:business.shopping_center
ns:sports.pro_athlete.teams..sports.sports_team_roster.position	ns:sports.pro_athlete	ns:sports.sports_position
ns:base.disaster2.pandemic.disease	ns:base.disaster2.pandemic	ns:base.disaster2.infectious_disease
ns:base.onephylogeny.type_of_thing.things_of_this_type	ns:base.onephylogeny.type_of_thing	ns:common.topic
ns:fashion.fashion_label.designers..fashion.designer_label_association.designer	ns:fashion.fashion_label	ns:fashion.fashion_designer
ns:location.country.national_anthem..government.national_anthem_of_a_country.anthem	ns:location.country	ns:government.national_anthem
ns:fictional_universe.fictional_organization.sub_organization_in_fiction	ns:fictional_universe.fictional_organization	ns:fictional_universe.fictional_organization
ns:user.jeff.default_domain.football_tournament_participating_team.tournament_results..user.jeff.default_domain.football_tournament_match_statistics.tournament	ns:user.jeff.default_domain.football_tournament_participating_team	ns:base.tournaments.tournament
ns:measurement_unit.current_unit.measurement_system	ns:measurement_unit.current_unit	ns:measurement_unit.measurement_system
ns:location.country.form_of_government	ns:location.country	ns:government.form_of_government
ns:user.lukeschubert.default_domain.language_classification.lower_classifications	ns:user.lukeschubert.default_domain.language_classification	ns:user.lukeschubert.default_domain.language_classification
ns:food.candy_bar.manufacturer	ns:food.candy_bar	ns:food.candy_bar_manufacturer
ns:measurement_unit.measurement_system.magnetic_flux_density_units	ns:measurement_unit.measurement_system	ns:measurement_unit.magnetic_flux_density_unit
ns:base.conservationaction.participant.participated_in..base.conservationaction.participation.group_activity	ns:base.conservationaction.participant	ns:base.conservationaction.participation_group
ns:medicine.infectious_disease.infectious_agent_type	ns:medicine.infectious_disease	ns:medicine.type_of_infectious_agent
ns:user.maport.cocktail.cocktail_recipe.ingredients..user.maport.cocktail.quantified_ingredient.ingredient	ns:user.maport.cocktail.cocktail_recipe	ns:user.maport.cocktail.cocktail_ingredient
ns:business.business_operation.cash..measurement_unit.dated_money_value.currency	ns:business.business_operation	ns:finance.currency
ns:fictional_universe.medical_condition_in_fiction.characters_with_this_condition	ns:fictional_universe.medical_condition_in_fiction	ns:fictional_universe.fictional_character
ns:travel.transport_operator.travel_destinations_served..travel.transportation.transport_terminus	ns:travel.transport_operator	ns:travel.transport_terminus
ns:base.abcbirds.conservation_project.contains_project_s	ns:base.abcbirds.conservation_project	ns:base.abcbirds.conservation_project
ns:internet.blogger.blog	ns:internet.blogger	ns:internet.blog
ns:basketball.basketball_team.historical_roster..sports.sports_team_roster.player	ns:basketball.basketball_team	ns:sports.pro_athlete
ns:theater.theater_production.designers..theater.theater_designer_gig.designer	ns:theater.theater_production	ns:theater.theater_designer
ns:people.person.sibling_s..people.sibling_relationship.sibling	ns:people.person	ns:people.person
ns:base.concepts.concept_developer.concepts_developed	ns:base.concepts.concept_developer	ns:base.concepts.concept
ns:music.performance_role.track_performances..music.track_contribution.role	ns:music.performance_role	ns:music.performance_role
ns:government.legislative_committee.subcommittees	ns:government.legislative_committee	ns:government.legislative_committee
ns:base.ballet.ballet_composer.ballets_composed	ns:base.ballet.ballet_composer	ns:base.ballet.ballet
ns:education.academic_institution.visiting_scholars_fellows_etc..education.academic_post.position_or_title	ns:education.academic_institution	ns:education.academic_post_title
ns:user.robert.earthquakes.earthquake.affected_locations..user.robert.earthquakes.earthquake_effect.affected_area	ns:user.robert.earthquakes.earthquake	ns:location.location
ns:media_common.finished_work.completion_of..media_common.completion_of_unfinished_work.finisher	ns:media_common.finished_work	ns:media_common.completer_of_unfinished_work
ns:base.pinball.pinball_machine.manufacturer	ns:base.pinball.pinball_machine	ns:base.pinball.pinball_machine_manufacturer
ns:award.long_list_nominee.long_list_nominations..award.long_list_nomination.nominee	ns:award.long_list_nominee	ns:award.long_list_nominee
ns:base.underwater.underwater_thing.body_of_water	ns:base.underwater.underwater_thing	ns:geography.body_of_water
ns:user.micahsaul.default_domain.recurring_festival.festival_occurrence	ns:user.micahsaul.default_domain.recurring_festival	ns:user.micahsaul.default_domain.music_festival
ns:business.defunct_company.reason_for_ceasing_operations	ns:business.defunct_company	ns:business.company_termination_type
ns:user.alexander.default_domain.royal_house.members	ns:user.alexander.default_domain.royal_house	ns:user.alexander.default_domain.royal_house_member
ns:base.collectiblecards.trading_card_company.set_printed	ns:base.collectiblecards.trading_card_company	ns:base.collectiblecards.trading_card_set
ns:location.uk_non_metropolitan_district.administrative_headquarters	ns:location.uk_non_metropolitan_district	ns:location.citytown
ns:medicine.icd_9_cm_classification.parent_classification	ns:medicine.icd_9_cm_classification	ns:medicine.icd_9_cm_classification
ns:base.mullardspacesciencelaboratoryprojects.observation_satellite.anscillary_observation_target	ns:base.mullardspacesciencelaboratoryprojects.observation_satellite	ns:common.topic
ns:royalty.system_of_nobility.orders_of_chivalry..royalty.system_order_relationship.order	ns:royalty.system_of_nobility	ns:royalty.order_of_chivalry
ns:user.zsi_editorial.editorial.editor.comments	ns:user.zsi_editorial.editorial.editor	ns:user.zsi_editorial.editorial.comment
ns:base.pinball.pinball_machine.designer	ns:base.pinball.pinball_machine	ns:base.pinball.pinball_machine_designer
ns:user.bitwiseplatypus.default_domain.mobile_phone.networks	ns:user.bitwiseplatypus.default_domain.mobile_phone	ns:user.bitwiseplatypus.default_domain.mobile_telephony_standard
ns:music.group_member.membership..music.group_membership.group	ns:music.group_member	ns:music.musical_group
ns:royalty.order_of_chivalry.higher_order..royalty.chivalric_order_relationship.higher_order	ns:royalty.order_of_chivalry	ns:royalty.order_of_chivalry
ns:base.biologydev.complex_organism.part	ns:base.biologydev.complex_organism	ns:base.biologydev.organism_part
ns:military.military_person.postings..military.military_posting.post	ns:military.military_person	ns:military.military_post
ns:base.litcentral.focal_taxa.priority_location_s..base.conservationaction.documented_priority_species.location	ns:base.litcentral.focal_taxa	ns:base.litcentral.focal_location
ns:base.patronage.client.related_patron..base.patronage.patron_client_relationship.product_of_relationship	ns:base.patronage.client	ns:base.patronage.patronage_product
ns:base.kwebbase.kwconnection.other	ns:base.kwebbase.kwconnection	ns:base.kwebbase.kwtopic
ns:sports.sports_position.players..ice_hockey.hockey_previous_roster_position.player	ns:sports.sports_position	ns:sports.pro_athlete
ns:digicams.digital_camera.camera_sensor_manufacturer	ns:digicams.digital_camera	ns:digicams.camera_sensor_manufacturer
ns:user.thalendar.default_domain.roleplaying_game.game_worlds	ns:user.thalendar.default_domain.roleplaying_game	ns:fictional_universe.fictional_universe
ns:base.meedan.arabic_language_media_source.country	ns:base.meedan.arabic_language_media_source	ns:location.country
ns:base.mathematics1.mathematical_concept.generalizations	ns:base.mathematics1.mathematical_concept	ns:base.mathematics1.mathematical_concept
ns:book.newspaper.circulation_areas	ns:book.newspaper	ns:periodicals.newspaper_circulation_area
ns:award.recurring_competition.individual_competitions	ns:award.recurring_competition	ns:award.competition
ns:user.tsegaran.mathematics.mathematical_concept.discoverer	ns:user.tsegaran.mathematics.mathematical_concept	ns:people.person
ns:location.nl_province.capital	ns:location.nl_province	ns:location.citytown
ns:spaceflight.bipropellant_rocket_engine.oxidizer	ns:spaceflight.bipropellant_rocket_engine	ns:spaceflight.rocket_engine_oxidizer
ns:wine.wine.grape_variety..wine.grape_variety_composition.grape_variety	ns:wine.wine	ns:wine.grape_variety
ns:food.food.nutrients..food.nutrition_fact.nutrient	ns:food.food	ns:food.nutrient
ns:user.hthorisson.default_domain.intelligent_system.concept_developer	ns:user.hthorisson.default_domain.intelligent_system	ns:base.concepts.concept_developer
ns:sports.multi_event_tournament.competitors..sports.competitor_country_relationship.country	ns:sports.multi_event_tournament	ns:sports.sport_country
ns:biology.pedigreed_animal.breed	ns:biology.pedigreed_animal	ns:biology.animal_breed
ns:book.translation.translator	ns:book.translation	ns:book.translator
ns:business.competitive_space.company..business.competitive_space_mediator.brand	ns:business.competitive_space	ns:business.brand
ns:base.popstra.business_location.customer..base.popstra.hangout.customer	ns:base.popstra.business_location	ns:base.popstra.celebrity
ns:base.plantstructure.plant.structure	ns:base.plantstructure.plant	ns:base.plantstructure.structure
ns:broadcast.radio_station.affiliations..broadcast.radio_affiliation_duration.network	ns:broadcast.radio_station	ns:broadcast.radio_network
ns:base.column.column.publisher..base.column.column_periodical_duration.periodical	ns:base.column.column	ns:base.column.column_publisher
ns:base.webvideo.internet_video.director	ns:base.webvideo.internet_video	ns:base.webvideo.internet_video_director
ns:base.locations.counties_parishes_and_boroughs.country	ns:base.locations.counties_parishes_and_boroughs	ns:base.locations.countries
ns:music.performance_role.regular_performances..music.group_membership.member	ns:music.performance_role	ns:music.group_member
